Seconds,Longitude,Latitude,Altitude
42352.236,-2.835267797,55.8906925,60.3
42352.269,-2.835268209,55.89069278,60.3
42352.303,-2.835268931,55.890693,60.3
42352.336,-2.835269348,55.89069321,60.3
42352.37,-2.835269824,55.89069347,60.3
42352.404,-2.835270296,55.89069373,60.3
42352.437,-2.835270777,55.89069399,60.2
42352.471,-2.835271203,55.89069421,60.2
42352.505,-2.835272264,55.89069429,60.2
42352.538,-2.835272922,55.89069448,60.2
42352.572,-2.83527361,55.89069466,60.2
42352.606,-2.835274225,55.89069481,60.2
42352.639,-2.835274969,55.89069496,60.1
42352.673,-2.835276264,55.89069496,60.1
42352.707,-2.835277141,55.89069507,60.1
42352.741,-2.835277922,55.89069514,60
42352.774,-2.835278866,55.89069522,60
42352.808,-2.835279844,55.89069527,60
42352.841,-2.835280714,55.8906953,59.9
42352.875,-2.835282379,55.89069515,59.9
42352.908,-2.83528358,55.89069512,59.9
42352.942,-2.835284817,55.89069506,59.9
42352.976,-2.835285906,55.890695,59.9
42353.009,-2.835287207,55.89069491,59.9
42353.043,-2.835288534,55.8906948,59.9
42353.076,-2.835289658,55.89069471,59.9
42353.11,-2.835291696,55.89069444,59.9
42353.144,-2.835293216,55.89069427,59.9
42353.177,-2.835294756,55.89069409,59.9
42353.211,-2.835296092,55.89069393,59.9
42353.245,-2.835297665,55.89069373,59.9
42353.278,-2.835300282,55.89069334,59.9
42353.312,-2.835302009,55.89069312,59.9
42353.346,-2.835303507,55.89069292,59.9
42353.379,-2.835305271,55.89069268,59.9
42353.413,-2.835307052,55.89069243,59.9
42353.446,-2.835308596,55.89069221,60
42353.48,-2.835311025,55.89069192,60
42353.513,-2.835312896,55.89069167,60
42353.547,-2.835314784,55.89069143,60
45330,-2.83531642,55.89069121,60
45335,-2.835318343,55.89069096,60
45341,-2.83532028,55.8906907,60
45347,-2.835322831,55.8906905,60
45353,-2.835324534,55.8906903,60
45363,-2.835326528,55.89069008,60.1
45370,-2.835328537,55.89068986,60.1
45376,-2.83533026,55.89068967,60.1
45382,-2.835332259,55.89068945,60.1
45388,-2.835334712,55.89068935,60.1
46022,-2.83533669,55.89068918,60.1
46027,-2.835338377,55.89068903,60.2
46034,-2.835340327,55.89068886,60.2
46041,-2.835342251,55.89068871,60.2
46047,-2.835343883,55.8906886,60.2
46052,-2.835345905,55.8906887,60.2
46058,-2.835347707,55.89068865,60.2
46066,-2.83534949,55.89068861,60.2
46072,-2.835351004,55.89068859,60.2
46078,-2.835352757,55.89068858,60.2
46084,-2.835354498,55.89068859,60.2
46886,-2.835355912,55.89068893,60.2
46891,-2.835357537,55.89068904,60.2
46897,-2.835359147,55.89068917,60.2
46903,-2.835360743,55.89068931,60.2
46908,-2.835362099,55.89068946,60.2
46913,-2.83536367,55.89068964,60.1
46919,-2.835365059,55.89069015,60.1
46926,-2.835366337,55.89069038,60.1
46932,-2.835367818,55.89069066,60.1
46938,-2.835369287,55.89069096,60.1
46944,-2.835370743,55.89069128,60.1
47540,-2.83537198,55.89069158,60
47545,-2.835373363,55.89069229,60
47551,-2.835374801,55.89069271,60
47557,-2.835376024,55.8906931,60
47563,-2.835377439,55.89069356,60
47568,-2.835378843,55.89069404,60
47574,-2.835380234,55.89069454,59.9
47581,-2.835381362,55.89069531,59.9
47587,-2.835382726,55.89069589,59.9
47593,-2.835384076,55.89069649,59.9
47599,-2.835385415,55.8906971,59.9
50641,-2.835386552,55.89069763,59.9
50649,-2.835387867,55.89069827,59.9
50655,-2.835389114,55.89069916,59.9
50661,-2.835390209,55.89069974,59.9
50667,-2.835391473,55.89070043,59.9
50675,-2.835392727,55.89070113,59.9
50681,-2.835393972,55.89070185,59.9
50688,-2.835395031,55.89070247,59.9
50693,-2.835396494,55.89070349,59.9
50700,-2.835397811,55.89070425,59.9
50938,-2.835399119,55.89070503,59.9
50945,-2.835400232,55.8907057,59.9
50951,-2.835401521,55.8907065,59.9
50957,-2.835402797,55.89070731,59.9
50963,-2.835404029,55.89070821,59.9
50971,-2.835405303,55.89070905,59.9
50977,-2.835406569,55.89070989,59.9
50983,-2.83540783,55.89071074,59.9
50990,-2.835408903,55.89071147,59.9
50996,-2.83541015,55.89071234,59.9
51203,-2.835411517,55.89071343,59.9
51210,-2.835412762,55.89071433,59.9
51216,-2.835413827,55.8907151,59.9
51222,-2.835415074,55.890716,59.9
51228,-2.835416327,55.8907169,59.9
51236,-2.835417404,55.89071768,59.9
51243,-2.835418902,55.89071873,59.9
51249,-2.835420216,55.89071962,59.9
51255,-2.835421532,55.89072051,59.9
51261,-2.835422659,55.89072127,59.9
51488,-2.835423974,55.89072216,59.9
51495,-2.835425283,55.89072303,59.9
51501,-2.835426758,55.89072404,59.9
51507,-2.835427889,55.89072479,59.9
51513,-2.835429212,55.89072566,59.9
51521,-2.835430537,55.89072653,59.9
51528,-2.835431671,55.89072727,59.9
51534,-2.835432993,55.89072814,59.9
51540,-2.835434512,55.89072913,59.9
51546,-2.835435862,55.89073001,59.9
52912,-2.835437017,55.89073075,59.9
52916,-2.835438362,55.89073162,59.9
52922,-2.835439701,55.8907325,59.9
52928,-2.835441114,55.89073346,59.9
52934,-2.835442492,55.89073437,59.9
52938,-2.835443865,55.89073528,59.8
52945,-2.835445234,55.89073619,59.8
52952,-2.835446403,55.89073696,59.8
52958,-2.835447762,55.89073786,59.8
52964,-2.835449203,55.8907389,59.8
52970,-2.835450513,55.8907398,59.8
53296,-2.835451629,55.89074058,59.8
53301,-2.835452924,55.89074148,59.8
53306,-2.835454211,55.89074238,59.8
53312,-2.835455307,55.89074315,59.8
53318,-2.835456698,55.89074428,59.8
53323,-2.835457977,55.89074523,59.8
53329,-2.835459251,55.89074618,59.8
53336,-2.835460335,55.89074699,59.8
53342,-2.835461591,55.89074794,59.8
53348,-2.83546284,55.89074889,59.8
53354,-2.835463898,55.89074969,59.8
53711,-2.835465173,55.89075091,59.8
53715,-2.835466387,55.89075189,59.8
53722,-2.835467596,55.89075288,59.8
53728,-2.835468629,55.89075372,59.8
53734,-2.835469831,55.89075469,59.8
53744,-2.835471116,55.89075599,59.8
53751,-2.835472163,55.89075687,59.8
53757,-2.835473383,55.8907579,59.8
53763,-2.835474603,55.89075893,59.8
53769,-2.835475822,55.89075995,59.8
54112,-2.835476866,55.89076083,59.8
54117,-2.83547817,55.89076217,59.8
54123,-2.835479401,55.89076323,59.8
54129,-2.83548046,55.89076413,59.7
54135,-2.835481698,55.89076518,59.7
54146,-2.835482934,55.89076623,59.7
54153,-2.835484167,55.89076727,59.7
54159,-2.835485402,55.89076856,59.7
54165,-2.835486676,55.89076967,59.7
54171,-2.835487947,55.89077077,59.7
54388,-2.835489034,55.89077171,59.7
54395,-2.835490299,55.8907728,59.7
54401,-2.83549156,55.89077389,59.7
54407,-2.835492959,55.89077531,59.7
54413,-2.835494037,55.89077626,59.7
54421,-2.835495285,55.89077738,59.7
54428,-2.835496527,55.89077849,59.7
54434,-2.835497585,55.89077944,59.7
54440,-2.835498811,55.89078055,59.7
54446,-2.835500024,55.89078193,59.7
56894,-2.835501175,55.89078305,59.7
57312,-2.835502148,55.89078401,59.7
57316,-2.835503272,55.89078513,59.7
57322,-2.835504385,55.89078624,59.7
57328,-2.835505326,55.89078719,59.7
57334,-2.835506378,55.89078859,59.7
57345,-2.835507419,55.89078973,59.7
57352,-2.835508444,55.89079086,59.7
57358,-2.835509304,55.89079182,59.7
57364,-2.835510283,55.89079294,59.7
57370,-2.835511236,55.89079405,59.7
57665,-2.835511959,55.89079529,59.7
57669,-2.835512839,55.89079642,59.7
57675,-2.835513695,55.89079754,59.8
57681,-2.835514527,55.89079866,59.8
57688,-2.835515222,55.89079961,59.8
57693,-2.83551601,55.89080071,59.8
57700,-2.835516553,55.89080195,59.8
57707,-2.835517232,55.890803,59.8
57713,-2.835517806,55.89080389,59.8
57719,-2.835518463,55.89080491,59.8
57725,-2.835519104,55.89080591,59.8
58340,-2.835519638,55.89080677,59.9
58345,-2.835519987,55.89080787,59.9
58351,-2.835520532,55.89080883,59.9
58357,-2.835521066,55.89080977,59.9
58363,-2.835521518,55.89081056,59.9
58373,-2.835522039,55.89081146,59.9
58380,-2.835522551,55.89081235,60
58386,-2.835522806,55.89081322,60
58392,-2.835523291,55.89081409,60
42359.159,-2.835523769,55.89081495,60
42359.192,-2.835524244,55.89081579,60
42359.226,-2.835524651,55.89081651,60
42359.259,-2.835525122,55.89081733,60.1
42359.293,-2.835525429,55.89081849,60.1
42359.327,-2.835525911,55.89081937,60.1
42359.361,-2.835526329,55.89082012,60.1
42359.394,-2.83552682,55.89082099,60.1
42359.428,-2.835527313,55.89082186,60.1
42359.461,-2.835527734,55.8908226,60.1
42359.495,-2.835528093,55.89082349,60.1
42359.528,-2.835528567,55.89082429,60.1
42359.562,-2.835529044,55.8908251,60.2
42359.596,-2.835529453,55.89082578,60.2
42359.629,-2.835529929,55.89082658,60.2
42359.663,-2.835530405,55.89082738,60.2
42359.696,-2.835530691,55.89082831,60.2
42359.73,-2.835531166,55.89082916,60.2
42359.764,-2.835531638,55.89083001,60.3
42359.797,-2.83553211,55.89083085,60.3
42359.831,-2.83553252,55.89083157,60.3
42359.864,-2.835533,55.8908324,60.4
42359.897,-2.835533342,55.89083344,60.4
42359.931,-2.835533736,55.89083415,60.4
42359.965,-2.8355342,55.89083498,60.4
42359.998,-2.835534673,55.8908358,60.4
42360.032,-2.835535153,55.8908366,60.4
42360.066,-2.835535568,55.89083728,60.5
42360.1,-2.83553578,55.89083815,60.5
42360.133,-2.835536206,55.8908389,60.6
42360.167,-2.835536639,55.89083964,60.6
42360.201,-2.835537018,55.89084026,60.6
42360.234,-2.83553747,55.89084097,60.7
42360.268,-2.835537671,55.89084176,60.7
42360.301,-2.835538043,55.89084235,60.7
42360.335,-2.835538488,55.89084303,60.8
42360.368,-2.835538949,55.8908437,60.8
42360.402,-2.835539426,55.89084436,60.8
42360.436,-2.835539849,55.89084493,60.9
42360.469,-2.835540046,55.89084558,60.9
42360.503,-2.835540517,55.8908462,60.9
42360.536,-2.835540936,55.89084672,60.9
42360.57,-2.835541444,55.89084733,60.9
42360.604,-2.835541974,55.89084793,60.9
42360.637,-2.83554253,55.89084854,61
42360.671,-2.835542667,55.89084902,61
42360.705,-2.835543209,55.8908496,61
42360.738,-2.835543773,55.89085019,61.1
42360.772,-2.83554436,55.89085078,61.1
42360.806,-2.835544884,55.89085128,61.1
42360.839,-2.835545519,55.89085188,61.2
42360.873,-2.835545878,55.89085249,61.2
42360.906,-2.835546449,55.89085303,61.2
42360.94,-2.835547135,55.89085367,61.2
42360.973,-2.835547844,55.89085432,61.2
42361.007,-2.835548578,55.89085497,61.2
42361.041,-2.835549226,55.89085553,61.3
42361.074,-2.835550035,55.8908562,61.3
42361.108,-2.835550478,55.89085676,61.3
42361.141,-2.835551142,55.89085731,61.4
42361.175,-2.835551937,55.89085795,61.4
42361.208,-2.835552749,55.8908586,61.4
42361.242,-2.835553578,55.89085926,61.5
42361.276,-2.83555403,55.89085983,61.5
42361.31,-2.835554892,55.89086052,61.5
42361.343,-2.835555772,55.89086122,61.6
42361.377,-2.835556662,55.89086191,61.6
42361.411,-2.835557432,55.89086251,61.6
42361.444,-2.835558333,55.89086321,61.7
42361.478,-2.835558987,55.89086382,61.7
42361.511,-2.835559747,55.89086438,61.7
42361.545,-2.835560638,55.89086504,61.8
42361.578,-2.835561533,55.8908657,61.8
42361.612,-2.83556243,55.89086635,61.8
42361.646,-2.8355632,55.89086692,61.9
42361.679,-2.835563883,55.89086745,61.9
42361.712,-2.835564776,55.89086809,61.9
42361.746,-2.835565542,55.89086864,62
42361.78,-2.835566438,55.89086928,62
42361.813,-2.835567338,55.89086993,62
42361.847,-2.835568239,55.89087057,62.1
42361.881,-2.835568733,55.89087093,62.1
42361.914,-2.835569583,55.89087152,62.1
42361.948,-2.835570447,55.89087213,62.2
42361.981,-2.835571199,55.89087266,62.2
42362.015,-2.835572084,55.89087328,62.2
42362.048,-2.83557298,55.8908739,62.3
42362.082,-2.835573711,55.89087427,62.3
42362.116,-2.835574521,55.89087479,62.3
42362.149,-2.83557548,55.8908754,62.4
42362.183,-2.835576451,55.89087602,62.4
42362.216,-2.835577294,55.89087656,62.4
42362.25,-2.835578294,55.8908772,62.5
42362.284,-2.835579315,55.89087761,62.5
42362.317,-2.835580395,55.89087824,62.5
42362.351,-2.835581332,55.89087879,62.6
42362.385,-2.835582438,55.89087944,62.6
42362.418,-2.835583558,55.8908801,62.6
42362.452,-2.83558469,55.89088078,62.7
42362.486,-2.835585894,55.89088116,62.7
42362.519,-2.835587145,55.89088185,62.7
42362.553,-2.835588405,55.89088255,62.8
42362.586,-2.835589492,55.89088316,62.8
42362.62,-2.835590767,55.89088389,62.8
42362.653,-2.835592052,55.89088463,62.9
42362.687,-2.835593801,55.89088518,62.9
42362.721,-2.83559501,55.89088582,62.9
42362.754,-2.835596426,55.89088659,62.9
42362.788,-2.835597841,55.89088736,62.9
42362.821,-2.83559905,55.89088804,62.9
42362.855,-2.835600457,55.89088885,63.1
42362.888,-2.835602178,55.89088956,63.1
42362.922,-2.835603601,55.8908904,63.1
42362.956,-2.835604821,55.89089113,63.2
42362.989,-2.835606243,55.89089199,63.2
42363.023,-2.835607661,55.89089287,63.2
42363.056,-2.835608872,55.89089363,63.3
42363.09,-2.835610615,55.89089432,63.3
42363.124,-2.835612067,55.89089518,63.3
42363.157,-2.835613518,55.89089605,63.4
42363.191,-2.835614759,55.89089681,63.4
42363.225,-2.835616203,55.8908977,63.4
42363.258,-2.835618154,55.89089848,63.5
42363.292,-2.835619694,55.89089941,63.5
42363.326,-2.83562101,55.89090021,63.5
42363.359,-2.835622536,55.89090115,63.6
42363.393,-2.835624053,55.8909021,63.6
42363.426,-2.83562535,55.89090293,63.6
42363.46,-2.835627315,55.89090385,63.7
42363.493,-2.835628864,55.89090484,63.7
42363.527,-2.835630407,55.89090584,63.7
42363.561,-2.835631722,55.8909067,63.9
42363.594,-2.83563325,55.89090772,63.9
42363.628,-2.83563477,55.89090874,63.9
42363.661,-2.8356365,55.89090959,64
42363.695,-2.835638046,55.89091063,64
42363.728,-2.835639584,55.89091167,64
42363.762,-2.835641112,55.89091273,64.1
42363.796,-2.835642414,55.89091363,64.1
42363.829,-2.83564392,55.8909147,64.1
42363.863,-2.835645899,55.89091566,64.2
42363.896,-2.835647229,55.89091655,64.2
42363.93,-2.835648766,55.89091759,64.2
42363.964,-2.835650282,55.89091863,64.2
42363.997,-2.835651777,55.89091967,64.2
42364.031,-2.835653047,55.89092057,64.2
42364.064,-2.835654942,55.89092159,64.3
42364.098,-2.83565642,55.89092265,64.3
42364.132,-2.835657871,55.89092372,64.3
42364.166,-2.83565909,55.89092463,64.3
42364.199,-2.835660489,55.8909257,64.3
42364.233,-2.835661867,55.89092677,64.3
42364.266,-2.83566351,55.89092764,64.4
