Trigger timestamp	Date	Time	Filename	GPS Timestamp date	GPS Timestamp time	FIX	Longitude	E/W	Latitude	N/S	Altitude	Satellites locked	Compass variation	Speed over ground [m/s]	Track course	Compass heading 	
1500395637057964	18/07/2017	16:33:57.057	Graph of Position 0.png	18/07/2017	16:33:57.000	3D	2.8347392509	W	55.8905998227	N	166.940	12	0.000	0.000	0.000	0.000	
1500395638057972	18/07/2017	16:33:58.057	Graph of Position 1.png		18/07/2017	16:33:57.799	3D	2.8347390281	W	55.8905994840	N	167.026	12	0.000	0.017	356.578	0.000	
1500395639057982	18/07/2017	16:33:59.057	Graph of Position 2.png		18/07/2017	16:33:59.000	3D	2.8347385176	W	55.8905984929	N	166.931	12	0.000	0.006	180.000	0.000	
1500395640057993	18/07/2017	16:34:00.057	Graph of Position 3.png		18/07/2017	16:33:59.799	3D	2.8347383422	W	55.8905975926	N	250.818	12	0.000	0.022	205.509	0.000	
1500395641058001	18/07/2017	16:34:01.058	Graph of Position 4.png		18/07/2017	16:34:01.000	3D	2.8347386693	W	55.8905963500	N	250.598	12	0.000	0.003	189.530	0.000	
1500395642058013	18/07/2017	16:34:02.058	Graph of Position 5.png		18/07/2017	16:34:01.799	3D	2.8347390044	W	55.8905956350	N	260.446	12	0.000	0.019	178.546	0.000	
1500395643058020	18/07/2017	16:34:03.058	Graph of Position 6.png		18/07/2017	16:34:03.000	3D	2.8347393315	W	55.8905946443	N	280.267	12	0.000	0.023	52.068	0.000	
1500395644058031	18/07/2017	16:34:04.058	Graph of Position 7.png		18/07/2017	16:34:03.799	3D	2.8347396112	W	55.8905938123	N	166.222	12	0.000	0.017	180.000	0.000	
1500395645058040	18/07/2017	16:34:05.058	Graph of Position 8.png		18/07/2017	16:34:05.000	3D	2.8347411284	W	55.8905924788	N	166.189	12	0.000	0.056	223.815	0.000	
1500395646058049	18/07/2017	16:34:06.058	Graph of Position 9.png		18/07/2017	16:34:05.799	3D	2.8347420387	W	55.8905916082	N	166.158	12	0.000	0.023	238.933	0.000	
