File Name,Longitude,Latitude,Altitude
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06477.JPG,-2.83531642,55.89069121,60
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06478.JPG,-2.835318343,55.89069096,60
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06479.JPG,-2.83532028,55.8906907,60
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06480.JPG,-2.835322831,55.8906905,60
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06481.JPG,-2.835324534,55.8906903,60
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06482.JPG,-2.835326528,55.89069008,60.1
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06483.JPG,-2.835328537,55.89068986,60.1
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06484.JPG,-2.83533026,55.89068967,60.1
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06485.JPG,-2.835332259,55.89068945,60.1
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06486.JPG,-2.835334712,55.89068935,60.1
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06487.JPG,-2.83533669,55.89068918,60.1
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06488.JPG,-2.835338377,55.89068903,60.2
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06489.JPG,-2.835340327,55.89068886,60.2
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06490.JPG,-2.835342251,55.89068871,60.2
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06491.JPG,-2.835343883,55.8906886,60.2
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06492.JPG,-2.835345905,55.8906887,60.2
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06493.JPG,-2.835347707,55.89068865,60.2
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06494.JPG,-2.83534949,55.89068861,60.2
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06495.JPG,-2.835351004,55.89068859,60.2
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06496.JPG,-2.835352757,55.89068858,60.2
