Image Name,Time TakenDate Taken
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06477.JPG,12:35:30,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06478.JPG,12:35:35,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06479.JPG,12:35:41,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06480.JPG,12:35:47,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06481.JPG,12:35:53,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06482.JPG,12:36:03,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06483.JPG,12:36:10,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06484.JPG,12:36:16,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06485.JPG,12:36:22,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06486.JPG,12:36:28,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06487.JPG,12:47:02,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06488.JPG,12:47:07,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06489.JPG,12:47:14,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06490.JPG,12:47:21,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06491.JPG,12:47:27,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06492.JPG,12:47:32,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06493.JPG,12:47:38,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06494.JPG,12:47:46,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06495.JPG,12:47:52,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06496.JPG,12:47:58,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06497.JPG,12:48:04,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06498.JPG,13:01:26,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06499.JPG,13:01:31,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06500.JPG,13:01:37,2017:10:03
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06501.JPG,13:01:43,2017:10:03
