Image Name,Time TakenDate Taken,Flight,Seconds
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06477.JPG,12:35:30,Flight1,45330
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06478.JPG,12:35:35,Flight1,45335
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06479.JPG,12:35:41,Flight1,45341
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06480.JPG,12:35:47,Flight1,45347
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06481.JPG,12:35:53,Flight1,45353
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06482.JPG,12:36:03,Flight1,45363
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06483.JPG,12:36:10,Flight1,45370
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06484.JPG,12:36:16,Flight1,45376
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06485.JPG,12:36:22,Flight1,45382
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06486.JPG,12:36:28,Flight1,45388
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06487.JPG,12:47:02,Flight2,46022
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06488.JPG,12:47:07,Flight2,46027
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06489.JPG,12:47:14,Flight2,46034
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06490.JPG,12:47:21,Flight2,46041
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06491.JPG,12:47:27,Flight2,46047
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06492.JPG,12:47:32,Flight2,46052
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06493.JPG,12:47:38,Flight2,46058
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06494.JPG,12:47:46,Flight2,46066
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06495.JPG,12:47:52,Flight2,46072
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06496.JPG,12:47:58,Flight2,46078
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06497.JPG,12:48:04,Flight2,46084
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06498.JPG,13:01:26,Flight3,46886
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06499.JPG,13:01:31,Flight3,46891
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06500.JPG,13:01:37,Flight3,46897
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06501.JPG,13:01:43,Flight3,46903
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06502.JPG,13:01:48,Flight3,46908
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06503.JPG,13:01:53,Flight3,46913
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06504.JPG,13:01:59,Flight3,46919
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06505.JPG,13:02:06,Flight3,46926
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06506.JPG,13:02:12,Flight3,46932
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06507.JPG,13:02:18,Flight3,46938
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06508.JPG,13:02:24,Flight3,46944
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06509.JPG,13:12:20,Flight4,47540
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06510.JPG,13:12:25,Flight4,47545
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06511.JPG,13:12:31,Flight4,47551
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06512.JPG,13:12:37,Flight4,47557
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06513.JPG,13:12:43,Flight4,47563
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06514.JPG,13:12:48,Flight4,47568
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06515.JPG,13:12:54,Flight4,47574
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06516.JPG,13:13:01,Flight4,47581
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06517.JPG,13:13:07,Flight4,47587
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06518.JPG,13:13:13,Flight4,47593
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06519.JPG,13:13:19,Flight4,47599
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06520.JPG,14:04:01,Flight5,50641
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06521.JPG,14:04:09,Flight5,50649
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06522.JPG,14:04:15,Flight5,50655
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06523.JPG,14:04:21,Flight5,50661
C:/Users/Evan/Documents/PhD/DCIM/100MSDCF\DSC06524.JPG,14:04:27,Flight5,50667
